"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","C_0201_Metric","6.6mm","4.945mm","6.6mm","4.945mm","6.6mm","4.625mm","T","90","4.7u",
"C2","C_0201_Metric","6.61mm","2.225mm","6.61mm","2.225mm","6.61mm","2.545mm","T","-90","2.2u",
"R1","R_0201_Metric","7.28mm","8.105mm","7.28mm","8.105mm","7.28mm","7.785mm","T","90","4.7k",
"R2","R_0201_Metric","6.57mm","8.105mm","6.57mm","8.105mm","6.57mm","7.785mm","T","90","4.7k",
"U1","QMC6310","7.01mm","3.585mm","7.01mm","3.585mm","6.61mm","3.185mm","T","90","QMC6310",
"U3","SD_NAND_32","3.24mm","4.555mm","3.24mm","4.555mm","1.33mm","1.075mm","T","90","CSNP32GCR01-AOW",
"C3","C_0402_Metric","5.65mm","2.565mm","5.65mm","2.565mm","5.17mm","2.565mm","B","0","1u",
"C4","C_0201_Metric","5.43mm","5.175mm","5.43mm","5.175mm","5.11mm","5.175mm","B","0","100n",
"C5","C_0201_Metric","4.14mm","8.675mm","4.14mm","8.675mm","4.46mm","8.675mm","B","180","100n",
"C6","C_0201_Metric","0.98mm","8.645mm","0.98mm","8.645mm","0.66mm","8.645mm","B","0","2.2u",
"J1","CONN20_DF40HC_HIR","2.57mm","4.615mm","2.57mm","4.615mm","4.109999mm","2.814775mm","B","90","DF40HC3.5-20DS-0.4V51",
"R3","R_0201_Metric","5.42mm","1.895mm","5.42mm","1.895mm","5.74mm","1.895mm","B","180","4.7k",
"R5","R_0201_Metric","5.425mm","3.695mm","5.425mm","3.695mm","5.745mm","3.695mm","B","180","4.7k",
"R6","R_0201_Metric","5.43mm","4.235mm","5.43mm","4.235mm","5.75mm","4.235mm","B","180","4.7k",
"U2","LSM6DSLTR_PQFN50P300X250X86-14N","6.25mm","7.185mm","6.25mm","7.185mm","7.0mm","6.025mm","B","90","LSM6DSLTR",
